road,chainage,lrp,lat,lon,type,name,condition,Segment,Truck,Bus,Car,Motorbike,Bicycle,nrLanes,destination
N1,0,LRPS,23.7060278,90.443333,Others,Start of Road  after Jatrabari Flyover infront of filling station.,road,1,15760,11213,5177,6322,2422,8,LRPSa
N1,0.814,LRPSa,23.7029167,90.4504167,Culvert,Box Culvert,road,1,0,0,0,0,0,8,LRPSb
N1,0.822,LRPSb,23.7027778,90.4504722,CrossRoad,Intersection with Z1101,road,2,0.001,0.001,0.001,0.001,0.001,8,LRP001
N1,1,LRP001,23.7021389,90.4519722,KmPost,Km post missing,road,2,0,0,0,0,0,8,LRP001a_B
N1,1.8,LRP001a_B,23.69873866,90.45886108,Bridge,.,A,2,0,0,0,0,0,5,LRP002
N1,2,LRP002,23.6978886,90.4605833,KmPost,Km post missing,road,2,0,0,0,0,0,5,LRP002a
N1,2.13,LRP002a,23.6973608,90.4616667,Culvert,Box culvert,road,2,0,0,0,0,0,5,LRP003
N1,3,LRP003,23.693833,90.4691382,KmPost,Km post missing,road,2,0,0,0,0,0,5,LRP004
N1,4,LRP004,23.6936108,90.4787771,KmPost,Km post missing,road,2,0,0,0,0,0,5,LRP004a
N1,4.175,LRP004a,23.6938052,90.4805271,"SideRoad,Right",Road to Narayanganj(R111),road,3,-6097,401,-1266,223,63,5,LRP004b_B
N1,4.925,LRP004b_B,23.69466384,90.48777492,Bridge,.,A,3,0,0,0,0,0,5,LRP005
N1,5,LRP005,23.6947497,90.4884997,KmPost,Km post missing,road,3,0,0,0,0,0,5,LRP006
N1,6,LRP006,23.6959163,90.4981941,KmPost,Km post missing,road,3,0,0,0,0,0,5,LRP007
N1,7,LRP007,23.697333,90.50775,KmPost,Km post missing,road,3,0,0,0,0,0,8,LRP007a
N1,7.181,LRP007a,23.6979163,90.5092778,CrossRoad,"R110,Left to Demra, Right to Narayanganj",road,4,-550,-1074,281,1607,851,8,LRP008
N1,8,LRP008,23.7020556,90.5157222,KmPost,Km post missing,road,4,0,0,0,0,0,4,LRP008a
N1,8.011,LRP008a,23.7021111,90.5157778,Bridge,Kachpur bridge,road,4,0,0,0,0,0,4,LRP008b
N1,8.429,LRP008b,23.7045833,90.5188327,Bridge,Bridge end,road,4,0,0,0,0,0,4,LRP009
N1,8.503,LRP009,23.7050278,90.5193327,KmPost,"Chittagong 251 km,Comilla 84 km",road,4,0,0,0,0,0,4,LRP009a
N1,8.763,LRP009a,23.7060833,90.5215271,"SideRoad,Left",Road to Sylhet (N2),road,5,7297,5373,86,379,0,4,LRP008b_B
N1,8.976,LRP008b_B,23.70505989,90.52321415,Bridge,KANCHPUR PC GIRDER BRIDGE,C,5,0,0,0,0,0,4,LRP010
N1,9.503,LRP010,23.7025278,90.5273882,KmPost,Km post missing,road,5,0,0,0,0,0,4,LRP010a
N1,9.615,LRP010a,23.7015278,90.5281938,Culvert,Box culvert,road,5,0,0,0,0,0,4,LRP010b
N1,9.963,LRP010b,23.6998608,90.5307216,Culvert,Box culvert,road,5,0,0,0,0,0,4,LRP010c
N1,10.377,LRP010c,23.6974163,90.5337774,Culvert,Box culvert,road,5,0,0,0,0,0,4,LRP011
N1,10.503,LRP011,23.6966386,90.5348052,KmPost,Km post missing,road,5,0,0,0,0,0,4,LRP010a_B
N1,10.543,LRP010a_B,23.69640009,90.53509898,Bridge,KATCHPUR BOX CULVERT,B,5,0,0,0,0,0,4,LRP010b_B
N1,10.88,LRP010b_B,23.69439061,90.53757408,Bridge,NOYAPARA CULVERT,A,5,0,0,0,0,0,4,LRP011a
N1,10.885,LRP011a,23.6943608,90.5376108,Culvert,Box culvert,road,5,0,0,0,0,0,4,LRP010c_B
N1,10.897,LRP010c_B,23.69430239,90.53770737,Bridge,ADUPUR CULVERT,A,5,0,0,0,0,0,4,LRP011a_B
N1,11.296,LRP011a_B,23.69236015,90.54091839,Bridge,NAYABARI KASPUR BOX CULVERT,A,5,0,0,0,0,0,4,LRP011b
N1,11.313,LRP011b,23.6922774,90.5410552,Culvert,Box culvert,road,5,0,0,0,0,0,4,LRP012
N1,11.497,LRP012,23.6918052,90.5426108,KmPost,"Chittagong 248 km,Comilla 81 km",road,5,0,0,0,0,0,4,LRP012a
N1,11.745,LRP012a,23.6911108,90.5448886,Bridge,Bridge start,road,5,0,0,0,0,0,8,LRP012b
N1,11.771,LRP012b,23.6910552,90.5451386,Bridge,Bridge end,road,5,0,0,0,0,0,8,LRP011c_B
N1,11.808,LRP011c_B,23.69091193,90.5454625,Bridge,NAYABARI BOX CULVERT,B,5,0,0,0,0,0,8,LRP012c
N1,11.936,LRP012c,23.6904163,90.546583,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105),road,6,0.001,0.001,0.001,0.001,0.001,8,LRP012a_B
