"","Road","roadID","Chainage.start","Chainage.end","width","nrLanes"
"1","N1",1585,0,0.13,29.7,8
"2","N1",1585,0.13,0.4,14,4
"3","N1",1585,0.4,1.05,28.3,8
"4","N1",1585,1.05,5.1,16.5,5
"5","N1",1585,5.1,6.2,16.2,5
"6","N1",1585,6.2,6.89,16,5
"7","N1",1585,6.89,7.33,26,8
"8","N1",1585,7.33,7.9,28,8
"9","N1",1585,7.9,8.9,14.9,4
"10","N1",1585,8.9,9.8,15,4
"11","N1",1585,9.8,10.45,14.6,4
"12","N1",1585,10.45,11.62,14.9,4
"13","N1",1585,11.62,12.1,28,8
"14","N1",1585,12.1,12.4,10.3,3
"15","N1",1585,12.4,17.22,14.6,4
"16","N1",1585,17.22,19.9,14.6,4
"17","N1",1585,19.9,20.2,14.6,4
"18","N1",1585,20.2,22.33,14.8,4
"19","N1",1585,22.33,22.8,46.9,6
"20","N1",1585,22.8,25.33,14.4,4
"21","N1",1585,25.33,27.2,14.8,4
"22","N1",1585,27.2,27.7,14.8,4
"23","N1",1585,27.7,31.36,15,4
"24","N1",1585,31.36,36.271,14.5,4
"25","N1",1585,36.271,37.607,15.3,5
"26","N1",1585,37.607,41.761,14.5,4
"27","N1",1585,41.761,45.819,18.9,6
"28","N1",1585,45.819,54.029,18.9,6
"29","N1",1585,54.029,229.046,18.8,6
"30","N1",1585,229.046,230.606,25.7,8
"31","N1",1585,230.606,232.754,18.6,6
"32","N1",1585,241.063,242.076,7.1,2
"33","N1",1585,242.076,242.556,7.2,2
"34","N1",1585,242.556,245.156,15,4
"35","N1",1585,245.156,246.856,7.2,2
"36","N1",1585,246.856,247.816,8,2
"37","N1",1585,247.816,254.897,7,2
"38","N1",1585,254.897,259.599,7,2
"39","N1",1585,259.599,260.499,7,2
"40","N1",1585,260.499,261.91,8.2,2
"41","N1",1585,261.91,263.41,7.3,2
"42","N1",1585,263.41,264.11,7.3,2
"43","N1",1585,264.11,267.25,8.2,2
"44","N1",1585,267.25,270.205,7.2,2
"45","N1",1585,270.205,272.405,8.2,2
"46","N1",1585,272.405,281.139,7.2,2
"47","N1",1585,281.139,286.489,8,2
"48","N1",1585,286.489,287.354,7,2
"49","N1",1585,287.354,297.229,7.2,2
"50","N1",1585,297.229,297.902,7.1,2
"51","N1",1585,297.902,328.948,7.1,2
"52","N1",1585,328.948,329.611,7.2,2
"53","N1",1585,329.611,380.568,6.8,2
"54","N1",1585,380.568,406.49,5.8,2
"55","N1",1585,406.49,406.994,7,2
"56","N1",1585,406.994,411.091,5.9,2
"57","N1",1585,411.091,416.136,5.9,2
"58","N1",1585,416.136,423.239,5.9,2
"59","N1",1585,423.239,429.682,5.8,2
"60","N1",1585,429.682,437.968,5.8,2
"61","N1",1585,437.968,444.511,5.7,2
"62","N1",1585,444.511,451.519,5.6,2
"63","N1",1585,451.519,459.326,5.7,2
"64","N1",1585,459.326,462.254,6.3,2
"65","N101",1622,0,6.021,7,2
"66","N102",1522,0,1.1,6.5,2
"67","N102",1522,1.1,2.25,5.7,2
"68","N102",1522,2.25,2.76,5.8,2
"69","N102",1522,2.76,2.96,5.6,2
"70","N102",1522,2.96,7,6,2
"71","N102",1522,7,9.4,6.2,2
"72","N102",1522,9.4,11.2,6,2
"73","N102",1522,11.2,14.45,5.6,2
"74","N102",1522,14.45,14.7,5.5,2
"75","N102",1522,14.7,15,5.7,2
"76","N102",1522,15,16,5.7,2
"77","N102",1522,16,19.6,5.7,2
"78","N102",1522,19.6,20.8,5.6,2
"79","N102",1522,20.8,21.48,5.7,2
"80","N102",1522,21.48,25.5,6,2
"81","N102",1522,25.5,25.8,5.3,1.5
"82","N102",1522,25.8,25.9,6,2
"83","N102",1522,25.9,27.55,7.2,2
"84","N102",1522,27.55,30.1,6.1,2
"85","N102",1522,30.1,35,6,2
"86","N102",1522,35,35.4,6,2
"87","N102",1522,35.4,37.5,5.6,2
"88","N102",1522,37.5,41.4,5.6,2
"89","N102",1522,41.4,46.5,5.6,2
"90","N102",1522,46.5,53.2,5.7,2
"91","N102",1522,53.2,53.7,5.4,1.5
"92","N102",1522,53.7,54.6,5.8,2
"93","N102",1522,54.6,54.9,5.6,2
"94","N102",1522,54.9,55.5,5.6,2
"95","N102",1522,55.5,65.9,5.3,1.5
"96","N102",1522,65.9,70,5.5,2
"97","N102",1522,70,72.05,7.2,2
"98","N102",1522,72.05,72.3,7,2
"99","N102",1522,72.3,75.8,7.2,2
"100","N102",1522,75.8,78.8,6,2
"101","N102",1522,78.8,82.682,6.1,2
"102","N103",1371,0,0.05,7.32,2
"103","N103",1371,0.05,0.639,6.9,2
"104","N103",1371,0.639,1.109,9,3
"105","N103",1371,1.109,1.809,10,3
"106","N103",1371,1.809,1.849,8.5,2
"107","N103",1371,1.849,1.999,10,3
"108","N103",1371,1.999,2.109,6.8,2
"109","N103",1371,2.109,2.389,5.5,2
"110","N103",1371,2.389,2.479,8.5,2
"111","N103",1371,2.479,3.109,5.5,2
"112","N103",1371,3.109,3.209,7.32,2
"113","N103",1371,3.209,3.439,5.5,2
"114","N103",1371,3.439,3.589,10,3
"115","N103",1371,3.589,4.779,7.5,2
"116","N104",1523,0,1.8,15.4,4
"117","N104",1523,1.8,2,7.2,2
"118","N104",1523,2,3.33,7.2,2
"119","N104",1523,3.33,5.2,7.3,2
"120","N104",1523,5.2,7.41,7.2,2
"121","N104",1523,7.41,14.515,7.2,2
"122","N104",1523,14.515,14.865,7,2
"123","N104",1523,14.865,16.1,5.6,2
"124","N104",1523,16.1,19.814,6,2
"125","N104",1523,19.814,20.014,6,2
"126","N104",1523,20.014,28.278,6.2,2
"127","N104",1523,28.278,29.83,6,2
"128","N104",1523,29.83,29.97,5.5,2
"129","N104",1523,29.97,31.05,6.1,2
"130","N104",1523,31.05,35.15,14.2,4
"131","N104",1523,35.15,35.23,7.32,2
"132","N104",1523,35.23,41.88,7.32,2
"133","N104",1523,41.88,43.36,7.9,2
"134","N104",1523,43.36,43.78,10.5,3
"135","N104",1523,43.78,44.82,9.8,3
"136","N104",1523,44.82,45.42,7.32,2
"137","N104",1523,45.42,47.046,5.7,2
"138","N104",1523,47.046,48.367,7.5,2
"139","N104",1523,48.367,49.63,7.5,2
"140","N105",1521,0,0.4,15.2,4
"141","N105",1521,0.4,1.5,7.2,2
"142","N105",1521,1.5,3.4,7.25,2
"143","N105",1521,3.4,5.1,7.25,2
"144","N105",1521,5.1,6.32,7.28,2
"145","N105",1521,6.32,6.41,8.55,2
"146","N105",1521,6.41,7.76,7.28,2
"147","N105",1521,7.76,7.91,7.3,2
"148","N105",1521,7.91,12.803,7.25,2
"149","N105",1521,12.803,12.92,8.51,2
"150","N105",1521,12.92,13.78,7.28,2
"151","N105",1521,13.78,15.3,7.3,2
"152","N105",1521,15.3,18.33,7.2,2
"153","N105",1521,18.33,19.6,7.3,2
"154","N105",1521,19.6,20,150,4
"155","N105",1521,20,20.37,16,4
"156","N105",1521,20.37,21.37,16,4
"157","N105",1521,21.37,23.5,7.25,2
"158","N105",1521,23.5,25.4,7.27,2
"159","N105",1521,25.4,27.4,7.23,2
"160","N105",1521,27.4,29.6,7.27,2
"161","N105",1521,29.6,31.125,7.24,2
"162","N105",1521,31.125,31.26,10,3
"163","N105",1521,31.26,31.46,14.6,4
"164","N105",1521,31.46,31.68,10.4,3
"165","N105",1521,31.68,33.6,7.26,2
"166","N105",1521,33.6,33.73,12.9,4
"167","N105",1521,33.73,33.87,14.6,4
"168","N105",1521,33.87,33.95,11.4,3
"169","N105",1521,33.95,36.14,7.26,2
"170","N105",1521,36.14,36.24,9,3
"171","N105",1521,36.24,38.45,7.26,2
"172","N105",1521,38.45,40.3,7.21,2
"173","N105",1521,40.3,42.4,7.3,2
"174","N105",1521,42.4,44.5,7.31,2
"175","N105",1521,44.5,45.9,7.27,2
"176","N105",1521,45.9,46.1,12,4
"177","N105",1521,46.1,46.15,12,4
"178","N105",1521,46.15,48.68,7.3,2
"179","N105",1521,48.68,48.881,14.4,4
"180","N106",1379,0,0.15,14.8,4
"181","N106",1379,0.15,2.04,7.1,2
"182","N106",1379,2.04,4.473,14.62,4
"183","N106",1379,4.473,7.73,14.62,4
"184","N106",1379,7.73,7.88,14.1,4
"185","N106",1379,7.88,9.55,14.6,4
"186","N106",1379,9.55,12.93,6.3,2
"187","N106",1379,12.93,13.05,7.8,2
"188","N106",1379,13.05,19.27,5.6,2
"189","N106",1379,19.27,19.48,7.35,2
"190","N106",1379,19.48,24.45,5.65,2
"191","N106",1379,24.45,29.5,6.2,2
"192","N106",1379,29.5,36.4,7.3,2
"193","N106",1379,36.4,43.7,7.3,2
"194","N106",1379,43.7,51.4,7.4,2
"195","N106",1379,51.4,56.5,7.25,2
"196","N106",1379,56.5,60.6,7.35,2
"197","N106",1379,60.6,61.79,9,3
"198","N106",1379,61.79,64.5,7.7,2
"199","N106",1379,64.5,66.85,7.4,2
"200","N107",1372,0,0.25,7.8,2
"201","N107",1372,0.25,1.4,5.73,2
"202","N107",1372,1.4,2.1,5.76,2
"203","N107",1372,2.1,3.8,5.7,2
"204","N107",1372,3.8,4.8,5.72,2
"205","N107",1372,4.8,6.3,5.56,2
"206","N107",1372,6.3,8.2,5.62,2
"207","N107",1372,8.2,10.542,5.58,2
"208","N108",1344,0,0.04,13,4
"209","N108",1344,0.04,1.8,5.8,2
"210","N108",1344,1.8,3.1,5.82,2
"211","N108",1344,3.1,6.2,5.67,2
"212","N108",1344,6.2,10.4,5.65,2
"213","N108",1344,10.4,14.4,5.64,2
"214","N108",1344,14.4,17.71,5.64,2
"215","N108",1344,17.71,21.473,5.64,2
"216","N108",1344,21.473,21.746,8,2
"217","N108",1344,21.746,22.541,9.5,3
"218","N109",1627,0,0.4,16.1,4
"219","N109",1627,0.4,1,5.9,2
"220","N109",1627,1,1.46,5.9,2
"221","N109",1627,1.46,1.55,10,3
"222","N109",1627,1.55,2.01,5.9,2
"223","N109",1627,2.01,2.51,15.8,4
"224","N110",1494,0,4.78,8,2
"225","N110",1494,4.78,6.47,5.7,2
"226","N110",1494,6.47,8.2,6.4,2
"227","N111",1694,0,0.06,12.7,4
"228","N111",1694,0.06,0.595,7.3,2
"229","N111",1694,0.595,0.694,13.6,4
"230","N111",1694,0.694,4.4,7.25,2
"231","N111",1694,4.4,7.6,7.3,2
"232","N111",1694,7.6,10.04,7.25,2
"233","N111",1694,10.04,10.24,3.7,1
"234","N111",1694,10.24,10.5,23.1,6
"235","N111",1694,10.5,10.93,7.3,2
"236","N111",1694,10.93,11.39,7.3,2
"237","N111",1694,11.39,11.46,13.2,4
"238","N111",1694,11.46,12.66,7.3,2
"239","N112",1703,0,0.02,15,4
"240","N112",1703,0.02,1.18,5.5,2
"241","N112",1703,1.18,1.23,7.5,2
"242","N112",1703,1.23,2.02,5.5,2
"243","N112",1703,2.02,2.72,3.7,1
"244","N119",1734,0,0.03,9.5,3
"245","N119",1734,0.03,1.52,5.6,2
"246","N119",1734,1.52,1.94,5.6,2
"247","N119",1734,1.94,2.85,5.6,2
"248","N120",1735,0,0.12,21,6
"249","N120",1735,0.12,0.13,10.5,3
"250","N120",1735,0.13,3.49,10.5,3
"251","N120",1735,3.49,5.1,18,4
"252","N120",1735,5.1,5.45,5.5,2
"253","N120",1735,5.45,5.59,5.5,2
"254","N120",1735,5.59,6.08,5.5,2
"255","N120",1735,6.08,6.68,7.3,2
"256","N120",1735,6.68,7.5,7.3,2
"257","N120",1735,7.5,7.76,7.3,2
"258","N120",1735,7.76,8.86,5.5,2
"259","N120",1735,8.86,9,7.3,2
"260","N120",1735,9,13.62,5.5,2
"261","N120",1735,13.62,13.94,7.3,2
"262","N120",1735,13.94,18.52,5.5,2
"263","N120",1735,18.52,20.94,5.5,2
"264","N123",1720,0,0.098,8,2
"265","N123",1720,0.098,0.22,8,2
"266","N123",1720,0.22,7.25,6.7,2
"267","N123",1720,7.25,8.06,6.65,2
"268","N124",1721,0,0.857,7.7,2
"269","N125",1722,0,1.14,7.8,2
"270","N126",1723,0,1.345,6.38,2
"271","N127",1724,0,0.305,7.4,2
"272","N128",1725,0,0.55,9.98,3
"273","N128",1725,0.55,1.297,10,3
"274","N129",1726,0,0.99,7.4,2
"275","N129",1726,0.99,2.41,10,3
"276","N129",1726,2.41,2.66,7.3,2
"277","N129",1726,2.66,2.79,10,3
"278","N2",1479,0,0.13,15.2,4
"279","N2",1479,0.13,0.26,14,4
"280","N2",1479,0.26,1.56,11.5,3
"281","N2",1479,1.56,2.26,7.4,2
"282","N2",1479,2.26,2.416,7.4,2
"283","N2",1479,2.416,4.346,7,2
"284","N2",1479,4.346,4.526,9,3
"285","N2",1479,4.526,5.926,7.3,2
"286","N2",1479,5.926,6.176,7.4,2
