"","road.road","chainage.road","lrp","lat.road","lon.road","type.road","condition","road.bridge","chainage.bridge","lat.bridge","lon.bridge","type.bridge","destination"
"1","N1",0,"LRPS",23.7060278,90.443333,"Others",NA,"N1",0,23.7060278,90.443333,"Others","LRPSa"
"2","N1",0.814,"LRPSa",23.7029167,90.4504167,"Culvert",NA,"N1",0.814,23.7029167,90.4504167,"Culvert","LRPSb"
"3","N1",0.822,"LRPSb",23.7027778,90.4504722,"CrossRoad",NA,"N1",0.822,23.7027778,90.4504722,"CrossRoad","LRP001"
"4","N1",1,"LRP001",23.7021389,90.4519722,"KmPost",NA,"N1",1,23.7021389,90.4519722,"KmPost","LRP002"
"5","N1",2,"LRP002",23.6978886,90.4605833,"KmPost",NA,"N1",2,23.6978886,90.4605833,"KmPost","LRP002a"
"6","N1",2.13,"LRP002a",23.6973608,90.4616667,"Culvert",NA,"N1",2.13,23.6973608,90.4616667,"Culvert","LRP003"
"7","N1",3,"LRP003",23.693833,90.4691382,"KmPost",NA,"N1",3,23.693833,90.4691382,"KmPost","LRP004"
"8","N1",4,"LRP004",23.6936108,90.4787771,"KmPost",NA,"N1",4,23.6936108,90.4787771,"KmPost","LRP004a"
"9","N1",4.175,"LRP004a",23.6938052,90.4805271,"SideRoad,Right",NA,"N1",4.175,23.6938052,90.4805271,"SideRoad,Right","LRP005"
"10","N1",5,"LRP005",23.6947497,90.4884997,"KmPost",NA,"N1",5,23.6947497,90.4884997,"KmPost","LRP006"
"11","N1",6,"LRP006",23.6959163,90.4981941,"KmPost",NA,"N1",6,23.6959163,90.4981941,"KmPost","LRP007"
"12","N1",7,"LRP007",23.697333,90.50775,"KmPost",NA,"N1",7,23.697333,90.50775,"KmPost","LRP007a"
"13","N1",7.181,"LRP007a",23.6979163,90.5092778,"CrossRoad",NA,"N1",7.181,23.6979163,90.5092778,"CrossRoad","LRP008"
"14","N1",8,"LRP008",23.7020556,90.5157222,"KmPost",NA,"N1",8,23.7020556,90.5157222,"KmPost","LRP008a"
"15","N1",8.011,"LRP008a",23.7021111,90.5157778,"Bridge",NA,"N1",8.011,23.7021111,90.5157778,"Bridge","LRP008b"
"16","N1",8.429,"LRP008b",23.7045833,90.5188327,"Bridge",NA,"N1",8.429,23.7045833,90.5188327,"Bridge","LRP009"
"17","N1",8.503,"LRP009",23.7050278,90.5193327,"KmPost",NA,"N1",8.503,23.7050278,90.5193327,"KmPost","LRP009a"
"18","N1",8.763,"LRP009a",23.7060833,90.5215271,"SideRoad,Left",NA,"N1",8.763,23.7060833,90.5215271,"SideRoad,Left","LRP010"
"19","N1",9.503,"LRP010",23.7025278,90.5273882,"KmPost",NA,"N1",9.503,23.7025278,90.5273882,"KmPost","LRP010a"
"20","N1",9.615,"LRP010a",23.7015278,90.5281938,"Culvert",NA,"N1",9.615,23.7015278,90.5281938,"Culvert","LRP010b"
"21","N1",9.963,"LRP010b",23.6998608,90.5307216,"Culvert",NA,"N1",9.963,23.6998608,90.5307216,"Culvert","LRP010c"
"22","N1",10.377,"LRP010c",23.6974163,90.5337774,"Culvert",NA,"N1",10.377,23.6974163,90.5337774,"Culvert","LRP011"
"23","N1",10.503,"LRP011",23.6966386,90.5348052,"KmPost",NA,"N1",10.503,23.6966386,90.5348052,"KmPost","LRP011a"
"24","N1",10.885,"LRP011a",23.6943608,90.5376108,"Culvert",NA,"N1",10.885,23.6943608,90.5376108,"Culvert","LRP011b"
"25","N1",11.313,"LRP011b",23.6922774,90.5410552,"Culvert",NA,"N1",11.313,23.6922774,90.5410552,"Culvert","LRP012"
"26","N1",11.497,"LRP012",23.6918052,90.5426108,"KmPost",NA,"N1",11.497,23.6918052,90.5426108,"KmPost","LRP012a"
"27","N1",11.745,"LRP012a",23.6911108,90.5448886,"Bridge",NA,"N1",11.745,23.6911108,90.5448886,"Bridge","LRP012b"
"28","N1",11.771,"LRP012b",23.6910552,90.5451386,"Bridge",NA,"N1",11.771,23.6910552,90.5451386,"Bridge","LRP012c"
"29","N1",11.936,"LRP012c",23.6904163,90.546583,"SideRoad,Right",NA,"N1",11.936,23.6904163,90.546583,"SideRoad,Right","LRP013"
"30","N1",12.524,"LRP013",23.6865274,90.5504167,"KmPost",NA,"N1",12.524,23.6865274,90.5504167,"KmPost","LRP013a"
"31","N1",12.672,"LRP013a",23.6854997,90.5512778,"Culvert",NA,"N1",12.672,23.6854997,90.5512778,"Culvert","LRP014"
"32","N1",13.524,"LRP014",23.678166,90.5556111,"KmPost",NA,"N1",13.524,23.678166,90.5556111,"KmPost","LRP015"
"33","N1",14.524,"LRP015",23.670916,90.5597778,"KmPost",NA,"N1",14.524,23.670916,90.5597778,"KmPost","LRP015a"
"34","N1",14.563,"LRP015a",23.6705827,90.5599722,"Culvert",NA,"N1",14.563,23.6705827,90.5599722,"Culvert","LRP016"
"35","N1",15.524,"LRP016",23.6628333,90.5641111,"KmPost",NA,"N1",15.524,23.6628333,90.5641111,"KmPost","LRP016a"
"36","N1",15.935,"LRP016a",23.6604167,90.5671104,"SideRoad,Right",NA,"N1",15.935,23.6604167,90.5671104,"SideRoad,Right","LRP016b"
"37","N1",16.242,"LRP016b",23.6591111,90.5697216,"Bridge",NA,"N1",16.242,23.6591111,90.5697216,"Bridge","LRP016c"
"38","N1",16.402,"LRP016c",23.6583056,90.5709993,"Bridge",NA,"N1",16.402,23.6583056,90.5709993,"Bridge","LRP017"
"39","N1",16.524,"LRP017",23.6575,90.5719716,"KmPost",NA,"N1",16.524,23.6575,90.5719716,"KmPost","LRP017a"
"40","N1",16.831,"LRP017a",23.6559722,90.5743327,"Bridge",NA,"N1",16.831,23.6559722,90.5743327,"Bridge","LRP017b"
"41","N1",16.852,"LRP017b",23.6559167,90.5745271,"Bridge",NA,"N1",16.852,23.6559167,90.5745271,"Bridge","LRP017c"
"42","N1",17.204,"LRP017c",23.6540556,90.5772771,"Bridge",NA,"N1",17.204,23.6540556,90.5772771,"Bridge","LRP017d"
"43","N1",17.234,"LRP017d",23.6539167,90.5774993,"Bridge",NA,"N1",17.234,23.6539167,90.5774993,"Bridge","LRP018"
"44","N1",17.524,"LRP018",23.6525278,90.5798882,"KmPost",NA,"N1",17.524,23.6525278,90.5798882,"KmPost","LRP018a"
"45","N1",17.863,"LRP018a",23.6508889,90.5826382,"Bridge",NA,"N1",17.863,23.6508889,90.5826382,"Bridge","LRP018b"
"46","N1",17.904,"LRP018b",23.6506944,90.5829993,"Bridge",NA,"N1",17.904,23.6506944,90.5829993,"Bridge","LRP019"
"47","N1",18.524,"LRP019",23.6476108,90.588083,"KmPost",NA,"N1",18.524,23.6476108,90.588083,"KmPost","LRP019a"
"48","N1",18.878,"LRP019a",23.6449441,90.5899163,"Culvert",NA,"N1",18.878,23.6449441,90.5899163,"Culvert","LRP019b"
"49","N1",19.521,"LRP019b",23.6397497,90.5926941,"Culvert",NA,"N1",19.521,23.6397497,90.5926941,"Culvert","LRP020"
"50","N1",19.524,"LRP020",23.6396941,90.5927219,"KmPost",NA,"N1",19.524,23.6396941,90.5927219,"KmPost","LRP020a"
"51","N1",20.044,"LRP020a",23.6358608,90.5948052,"SideRoad,Left",NA,"N1",20.044,23.6358608,90.5948052,"SideRoad,Left","LRP020b"
"52","N1",20.342,"LRP020b",23.6341108,90.5970274,"Bridge",NA,"N1",20.342,23.6341108,90.5970274,"Bridge","LRP020c"
"53","N1",20.442,"LRP020c",23.6335552,90.5976941,"Bridge",NA,"N1",20.442,23.6335552,90.5976941,"Bridge","LRP021"
"54","N1",20.524,"LRP021",23.6330549,90.5982774,"KmPost",NA,"N1",20.524,23.6330549,90.5982774,"KmPost","LRP021a"
"55","N1",21.499,"LRP021a",23.6262771,90.6042222,"Culvert",NA,"N1",21.499,23.6262771,90.6042222,"Culvert","LRP022"
"56","N1",21.629,"LRP022",23.6252216,90.6049722,"KmPost",NA,"N1",21.629,23.6252216,90.6049722,"KmPost","LRP022a"
"57","N1",21.765,"LRP022a",23.6242216,90.6055278,"Bridge",NA,"N1",21.765,23.6242216,90.6055278,"Bridge","LRP022b"
"58","N1",21.993,"LRP022b",23.6224993,90.6066944,"Bridge",NA,"N1",21.993,23.6224993,90.6066944,"Bridge","LRP022c"
"59","N1",22.252,"LRP022c",23.6204716,90.6079722,"Bridge",NA,"N1",22.252,23.6204716,90.6079722,"Bridge","LRP022d"
"60","N1",22.374,"LRP022d",23.6195271,90.6085833,"Bridge",NA,"N1",22.374,23.6195271,90.6085833,"Bridge","LRP023"
"61","N1",22.629,"LRP023",23.6173604,90.6096944,"KmPost",NA,"N1",22.629,23.6173604,90.6096944,"KmPost","LRP023a"
"62","N1",23.564,"LRP023a",23.6095556,90.6121944,"Bridge",NA,"N1",23.564,23.6095556,90.6121944,"Bridge","LRP024"
"63","N1",23.629,"LRP024",23.609,90.6124722,"KmPost",NA,"N1",23.629,23.609,90.6124722,"KmPost","LRP024a"
