"","road","chainage.road","lrp","lat.road","lon.road","type","chainage.bridge","condition","lat.bridge","lon.bridge","destination","chainage","lat","lon"
"1","N1",0,"LRPS",23.7060278,90.443333,"Others",NA,NA,NA,NA,"LRPSa",0,23.7060278,90.443333
"2","N1",0.814,"LRPSa",23.7029167,90.4504167,"Culvert",NA,NA,NA,NA,"LRPSb",0.814,23.7029167,90.4504167
"3","N1",0.822,"LRPSb",23.7027778,90.4504722,"CrossRoad",NA,NA,NA,NA,"LRP001",0.822,23.7027778,90.4504722
"4","N1",1,"LRP001",23.7021389,90.4519722,"KmPost",NA,NA,NA,NA,"LRP002",1,23.7021389,90.4519722
"5",NA,NA,"LRP001a",NA,NA,NA,1.8,"A",23.69873866,90.45886108,"LRP004b",1.8,23.69873866,90.45886108
"6","N1",2,"LRP002",23.6978886,90.4605833,"KmPost",NA,NA,NA,NA,"LRP002a",2,23.6978886,90.4605833
"7","N1",2.13,"LRP002a",23.6973608,90.4616667,"Culvert",NA,NA,NA,NA,"LRP003",2.13,23.6973608,90.4616667
"8","N1",3,"LRP003",23.693833,90.4691382,"KmPost",NA,NA,NA,NA,"LRP004",3,23.693833,90.4691382
"9","N1",4,"LRP004",23.6936108,90.4787771,"KmPost",NA,NA,NA,NA,"LRP004a",4,23.6936108,90.4787771
"10","N1",4.175,"LRP004a",23.6938052,90.4805271,"SideRoad,Right",NA,NA,NA,NA,"LRP005",4.175,23.6938052,90.4805271
"11",NA,NA,"LRP004b",NA,NA,NA,4.925,"A",23.69466384,90.48777492,"LRP011c",4.925,23.69466384,90.48777492
"12","N1",5,"LRP005",23.6947497,90.4884997,"KmPost",NA,NA,NA,NA,"LRP006",5,23.6947497,90.4884997
"13","N1",6,"LRP006",23.6959163,90.4981941,"KmPost",NA,NA,NA,NA,"LRP007",6,23.6959163,90.4981941
"14","N1",7,"LRP007",23.697333,90.50775,"KmPost",NA,NA,NA,NA,"LRP007a",7,23.697333,90.50775
"15","N1",7.181,"LRP007a",23.6979163,90.5092778,"CrossRoad",NA,NA,NA,NA,"LRP008",7.181,23.6979163,90.5092778
"16","N1",8,"LRP008",23.7020556,90.5157222,"KmPost",NA,NA,NA,NA,"LRP008a",8,23.7020556,90.5157222
"17","N1",8.011,"LRP008a",23.7021111,90.5157778,"Bridge",NA,NA,NA,NA,"LRP008b",8.011,23.7021111,90.5157778
"18","N1",8.429,"LRP008b",23.7045833,90.5188327,"Bridge",8.976,"C",23.70505989,90.52321415,"LRP009",8.429,23.7045833,90.5188327
"19","N1",8.503,"LRP009",23.7050278,90.5193327,"KmPost",NA,NA,NA,NA,"LRP009a",8.503,23.7050278,90.5193327
"20","N1",8.763,"LRP009a",23.7060833,90.5215271,"SideRoad,Left",NA,NA,NA,NA,"LRP010",8.763,23.7060833,90.5215271
"21","N1",9.503,"LRP010",23.7025278,90.5273882,"KmPost",NA,NA,NA,NA,"LRP010a",9.503,23.7025278,90.5273882
"22","N1",9.615,"LRP010a",23.7015278,90.5281938,"Culvert",10.543,"B",23.69640009,90.53509898,"LRP010b",9.615,23.7015278,90.5281938
"23","N1",9.963,"LRP010b",23.6998608,90.5307216,"Culvert",10.88,"A",23.69439061,90.53757408,"LRP010c",9.963,23.6998608,90.5307216
"24","N1",10.377,"LRP010c",23.6974163,90.5337774,"Culvert",10.897,"A",23.69430239,90.53770737,"LRP011",10.377,23.6974163,90.5337774
"25","N1",10.503,"LRP011",23.6966386,90.5348052,"KmPost",NA,NA,NA,NA,"LRP011a",10.503,23.6966386,90.5348052
"26","N1",10.885,"LRP011a",23.6943608,90.5376108,"Culvert",11.296,"A",23.69236015,90.54091839,"LRP011b",10.885,23.6943608,90.5376108
"27","N1",11.313,"LRP011b",23.6922774,90.5410552,"Culvert",NA,NA,NA,NA,"LRP012",11.313,23.6922774,90.5410552
"28","N1",11.497,"LRP012",23.6918052,90.5426108,"KmPost",NA,NA,NA,NA,"LRP012a",11.497,23.6918052,90.5426108
"29","N1",11.745,"LRP012a",23.6911108,90.5448886,"Bridge",12.239,"A",23.68841233,90.54855853,"LRP012b",11.745,23.6911108,90.5448886
"30","N1",11.771,"LRP012b",23.6910552,90.5451386,"Bridge",12.253,"A",23.68831973,90.54864981,"LRP012c",11.771,23.6910552,90.5451386
"31",NA,NA,"LRP011c",NA,NA,NA,11.808,"B",23.69091193,90.5454625,"LRP013b",11.808,23.69091193,90.5454625
"32","N1",11.936,"LRP012c",23.6904163,90.546583,"SideRoad,Right",NA,NA,NA,NA,"LRP013",11.936,23.6904163,90.546583
"33","N1",12.524,"LRP013",23.6865274,90.5504167,"KmPost",NA,NA,NA,NA,"LRP013a",12.524,23.6865274,90.5504167
"34","N1",12.672,"LRP013a",23.6854997,90.5512778,"Culvert",12.66,"A",23.68558303,90.55120798,"LRP014",12.672,23.6854997,90.5512778
"35",NA,NA,"LRP013b",NA,NA,NA,12.688,"A",23.68536198,90.55135918,"LRP014a",12.688,23.68536198,90.55135918
